Manufacturer,Model Number,Name,NBG Code,X-ray/Serial ID,Sense / Pace Connector RA,Sense / Pace Connector RV,Detach Tools,Non MAG Rate BOS,Non MAG Rate RRT/EOS,MAG Rate BOS,MAG Rate RRT/EOS,RRT/EOS Behavior,RRT/EOS Longetivity
"Biotronik, Inc.",—,Axios DR-B DDDR,,ER,6 mm Programmable,6 mm Programmable,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",5.5
"Biotronik, Inc.",—,Axios SR-B SSIR,,ER,None,6 mm Programmable,#2,PR,PR-11% (SI),PR,PR-11% (SOO),"B, 11%, Jb",6.7
"Biotronik, Inc.",101,Ergos 01 UP SSIR,,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%",
"Biotronik, Inc.",102,Diplos 03 DDDM,,None,5 mm UNI,5 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%",
"Biotronik, Inc.",102,Diplos 03 VVI,,None,None,5 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%",
"Biotronik, Inc.",103,Ergos 01 BP SSIR,,None,None,IS-1 BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%",
"Biotronik, Inc.",104,Kalos 03 A VVIM,,None,None,5 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",104B,Kalos 03 B VVIM,,None,None,6 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",105,Ergos 01 A SSIR,,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%",
"Biotronik, Inc.",107A,Leukos 03 A VVI,,None,None,5 mm UNI,#2,72,68,72,68,"B, 6%, J",
"Biotronik, Inc.",107B,Leukos 03 B VVI,,None,None,6 mm UNI,#2,72,68,72,68,"B, 6%, J",
"Biotronik, Inc.",111,Ergos 02 UP DDDR,,None,IS-1 UNI,IS-1 UNI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"B, 11%",
"Biotronik, Inc.",112 472,Gemnos 02,DDD,AA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
"Biotronik, Inc.",112 473,Ergos 03,DDDR,AL,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"B, 11%",
"Biotronik, Inc.",112 518,Pikos 01,SSIC,CA,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",112 548,Metros 01,SSIR,AC,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"B, 11%",
"Biotronik, Inc.",112 622,Physios 01,DDDC,AK,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
"Biotronik, Inc.",112 651,Pikos E 01,SSIC,AE,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",112 681,Gemnos 03,DDD,AP,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
