Manufacturer,Model Number,Model Name,Serial ID,Connectors Sense/Pace,Polarity,Fixation,Placement,Outer Insulation,Location
"Biotronick, Inc.",115 606,ELC-54-UP,,IS-1,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",116 015,ELC-35-UP,,IS-1,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",119 684,Synox SX 60-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",119 687,Polyrox PX 60-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",119 924,Polyrox PX 53-JBP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",120 143,Synox SX 53-JBP,,IS-1,BI,Passive,ENDO,SIL,RA
"Biotronick, Inc.",120 307,Polyrox PX 53-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",120 435,Polyrox PX 45-JBP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",120 438,Synox SX 45-JBP,,IS-1,BI,Passive,ENDO,SIL,RA
"Biotronick, Inc.",120 444,Synox SX 53-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",124 539,Solox SLX-65/11-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",124 540,Solox SLX-65/13-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",124 541,Solox SLX-65/14-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",124 542,Solox SLX-65/15-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",124 543,Solox SLX-65/17-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",124 774,Retrox RX 45-JBP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",124 775,Retrox RX 53-JBP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",124 776,Retrox RX 53-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",124 777,Retrox RX 60-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",124 853,Synox SX 53/15-BP,,,,,,,
"Biotronick, Inc.",124 854,Synox SX 60/15-BP,,,,,,,
"Biotronick, Inc.",130 018,Elox 53-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",130 050,Polyrox PX 53/15-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",130 051,Polyrox PX 60/15-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",330 132,Elox 45-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",330 133,Elox 60-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",333 899,Solox SLX 58/11-BP,,,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",333 900,Solox SLX 58/13-BP,,,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",333 901,Solox SLX 58/14-BP,,,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",333 902,Solox SLX 58/15-BP,,,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",333 903,Solox SLX 58/17-BP,,,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",338 021,Arox 60-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",338 022,Arox 45-JBP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",338 023,Arox 53-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",338 025,Arox 53-JBP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",342 305,Elox P 45-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",342 306,Elox P 53-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",342 307,Elox P 60-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA/RV
"Biotronick, Inc.",343 081,Selox SR 45,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",343 082,Selox SR 60,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",343 083,Selox SR 53,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",346 366,Selox ST 53,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",346 367,Selox ST 60,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",346 368,Setrox S JT 53,,IS-1,BI,J+Tines,ENDO,SIL,RV
"Biotronick, Inc.",346 369,Selox JT 45,,IS-1,BI,J+Tines,ENDO,SIL,RV
"Biotronick, Inc.",346 542,Corox OTW 75-UP,,IS-1,UNI,Passive,ENDO,SIL,CS
"Biotronick, Inc.",346 543,Corox OTW 85-UP,,IS-1,UNI,Passive,ENDO,SIL,CS
"Biotronick, Inc.",350 973,Setrox S S 45,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",350 974,Setrox S S 53,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",350 975,Setrox S S 60,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RA
"Biotronick, Inc.",,DFH-45-A,,5 mm,UNI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,DFH-45-B,,UNK,UNI,Sickle Hooks,ENDO,UNK,RA/RV
"Biotronick, Inc.",,DFH-45-UP,,IS-1,UNI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,DFH-53-A,,5 mm,UNI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,DFH-53-B,,UNK,UNI,Sickle Hooks,ENDO,UNK,RA/RV
"Biotronick, Inc.",,DFH-53-UP,,IS-1,UNI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,DFH-60-A,,5 mm,UNI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,DFH-60-B,,UNK,UNI,Sickle Hooks,ENDO,UNK,RA/RV
"Biotronick, Inc.",,DFH-60-UP,,IS-1,UNI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,DFH-60-VSUP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,DJ-45-A,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJ-45-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJ-53-A,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJ-53-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJ-60-A,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJ-60-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJ-60-VSUP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJP-45-A,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJP-45-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJP-53-A,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJP-53-UP,,IS-1,UNI,J+Tines,ENDO,UNK,RA
"Biotronick, Inc.",,DJP-53-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJP-60-A,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DJP-60-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,DM-50-A,,5 mm,UNI,Suture,EPI,SIL,RV
"Biotronick, Inc.",,DM-50-UP,,IS-1,UNI,Suture,EPI,SIL,RV
"Biotronick, Inc.",,DM-50-VSUP,,IS-1,UNI,Suture,EPI,SIL,RV
"Biotronick, Inc.",,DN-53-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DN-53-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DN-60-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DN-60-B,,6 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DN-60-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DN-60-VSUP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,DN-85-A,,5 mm,UNI,Passive,ENDO,SIL,UNK
"Biotronick, Inc.",,DN-85-UP,,IS-1,UNI,Passive,ENDO,SIL,UNK
"Biotronick, Inc.",,DNP-53-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNP-53-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNP-60-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNP-60-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNR-53-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNR-53-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
